effect_size,derivative,SAFE_family,vars_required,cloud_filtering_rules,special_warnings,default_safe_family,calc_type,formula,label,exec_formula,lower_filter,upper_filter,paired_design,reference,escalc_name,must_use_SAFE,equations_used,n_versions,default
lnCVR,first,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,vi_first <- sd1^2/(n1 * x1^2) + sd2^2/(n2 * x2^2) + 1/(2*(n1 - 1)) + 1/(2*(n2 - 1)),vi_first,vi_first <- input$sd1^2/(input$n1 * input$x1^2) + input$sd2^2/(input$n2 * input$x2^2) + 1/(2*(input$n1 - 1)) + 1/(2*(input$n2 - 1)),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,vi_second <- sd1^2/(n1 * x1^2) + sd1^4/(2 * n1^2 * x1^4) + n1/(2*(n1 - 1)^2) + sd2^2/(n2 * x2^2) + sd2^4/(2 * n2^2 * x2^4) + n2/(2*(n2 - 1)^2),vi_second,vi_second <- input$sd1^2/(input$n1 * input$x1^2) + input$sd1^4/(2 * input$n1^2 * input$x1^4) + input$n1/(2*(input$n1 - 1)^2) + input$sd2^2/(input$n2 * input$x2^2) + input$sd2^4/(2 * input$n2^2 * input$x2^4) + input$n2/(2*(input$n2 - 1)^2),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnCVR,first,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,vi_first <- sd1^2/(n * x1^2) + sd2^2/(n * x2^2) - 2*r*sd1*sd2/(n * x1 * x2) + 1/(n - 1) - r^2/(n - 1),vi_first,vi_first <- input$sd1^2/(input$n * input$x1^2) + input$sd2^2/(input$n * input$x2^2) - 2*input$r*input$sd1*input$sd2/(input$n * input$x1 * input$x2) + 1/(input$n - 1) - input$r^2/(input$n - 1),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0 & v1 > 0 & v2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,vi_second <- sd1^2/(n * x1^2) + sd1^4/(2 * n^2 * x1^4) + sd2^2/(n * x2^2) + sd2^4/(2 * n^2 * x2^4) - 2*r*sd1*sd2/(n * x1 * x2) + r^2 * sd1^2 * sd2^2 * (x1^4 + x2^4) / (2 * n^2 * x1^4 * x2^4) + n/(n - 1)^2 - r^2/(n - 1) + r^4 * (sd1^8 + sd2^8) / (2 * (n - 1)^2 * sd1^4 * sd2^4),vi_second,vi_second <- input$sd1^2/(input$n * input$x1^2) + input$sd1^4/(2 * input$n^2 * input$x1^4) + input$sd2^2/(input$n * input$x2^2) + input$sd2^4/(2 * input$n^2 * input$x2^4) - 2*input$r*input$sd1*input$sd2/(input$n * input$x1 * input$x2) + input$r^2 * input$sd1^2 * input$sd2^2 * (input$x1^4 + input$x2^4) / (2 * input$n^2 * input$x1^4 * input$x2^4) + input$n/(input$n - 1)^2 - input$r^2/(input$n - 1) + input$r^4 * (input$sd1^8 + input$sd2^8) / (2 * (input$n - 1)^2 * input$sd1^4 * input$sd2^4),"x1=0, x2=0, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnCVR,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,sampling_variance,vi_first <- sd1^2/(n1 * x1^2) + sd2^2/(n2 * x2^2) + 1/(2*(n1 - 1)) + 1/(2*(n2 - 1)),vi_first,vi_first <- input$sd1^2/(input$n1 * input$x1^2) + input$sd2^2/(input$n2 * input$x2^2) + 1/(2*(input$n1 - 1)) + 1/(2*(input$n2 - 1)),"x1=Inf, x2=Inf","x1=Inf, x2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,sampling_variance,vi_second <- sd1^2/(n1 * x1^2) + sd1^4/(2 * n1^2 * x1^4) + n1/(2*(n1 - 1)^2) + sd2^2/(n2 * x2^2) + sd2^4/(2 * n2^2 * x2^4) + n2/(2*(n2 - 1)^2),vi_second,vi_second <- input$sd1^2/(input$n1 * input$x1^2) + input$sd1^4/(2 * input$n1^2 * input$x1^4) + input$n1/(2*(input$n1 - 1)^2) + input$sd2^2/(input$n2 * input$x2^2) + input$sd2^4/(2 * input$n2^2 * input$x2^4) + input$n2/(2*(input$n2 - 1)^2),"x1=Inf, x2=Inf","x1=Inf, x2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnCVR,first,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,sampling_variance,vi_first <- sd1^2/(n * x1^2) + sd2^2/(n * x2^2) - 2*r*sd1*sd2/(n * x1 * x2) + 1/(n - 1) - r^2/(n - 1),vi_first,vi_first <- input$sd1^2/(input$n * input$x1^2) + input$sd2^2/(input$n * input$x2^2) - 2*input$r*input$sd1*input$sd2/(input$n * input$x1 * input$x2) + 1/(input$n - 1) - input$r^2/(input$n - 1),"x1=Inf, x2=Inf","",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,no
lnCVR,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, r, n",x1 > 0 & x2 > 0,"lnCVR can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,sampling_variance,vi_second <- sd1^2/(n * x1^2) + sd1^4/(2 * n^2 * x1^4) + sd2^2/(n * x2^2) + sd2^4/(2 * n^2 * x2^4) - 2*r*sd1*sd2/(n * x1 * x2) + r^2 * sd1^2 * sd2^2 * (x1^4 + x2^4) / (2 * n^2 * x1^4 * x2^4) + n/(n - 1)^2 - r^2/(n - 1) + r^4 * (sd1^8 + sd2^8) / (2 * (n - 1)^2 * sd1^4 * sd2^4),vi_second,vi_second <- input$sd1^2/(input$n * input$x1^2) + input$sd1^4/(2 * input$n^2 * input$x1^4) + input$sd2^2/(input$n * input$x2^2) + input$sd2^4/(2 * input$n^2 * input$x2^4) - 2*input$r*input$sd1*input$sd2/(input$n * input$x1 * input$x2) + input$r^2 * input$sd1^2 * input$sd2^2 * (input$x1^4 + input$x2^4) / (2 * input$n^2 * input$x1^4 * input$x2^4) + input$n/(input$n - 1)^2 - input$r^2/(input$n - 1) + input$r^4 * (input$sd1^8 + input$sd2^8) / (2 * (input$n - 1)^2 * input$sd1^4 * input$sd2^4),"x1=Inf, x2=Inf","",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,CVR,no,"",2,yes
lnHWE_A,first,3_multinomial,"n_AA, n_Aa, n_aa","","Cannot accept values of 0 for n_AA, n_Aa, or n_aa","",sampling_variance,vi_first <- (1/(n_AA + n_Aa + n_aa)) * ((1/(n_Aa / (n_AA + n_Aa + n_aa))) + (1-(n_Aa / (n_AA + n_Aa + n_aa)))/(4*(n_AA / (n_AA + n_Aa + n_aa))*(n_aa / (n_AA + n_Aa + n_aa)))),vi_first,vi_first <- (1/(input$n_AA + input$n_Aa + input$n_aa)) * ((1/(input$n_Aa / (input$n_AA + input$n_Aa + input$n_aa))) + (1-(input$n_Aa / (input$n_AA + input$n_Aa + input$n_aa)))/(4*(input$n_AA / (input$n_AA + input$n_Aa + input$n_aa))*(input$n_aa / (input$n_AA + input$n_Aa + input$n_aa)))),"","",FALSE,"",none,no,"",1,yes
lnM,first,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,Results are only reliable with SAFE method,"",sampling_variance,vi_first <- (1 / 4 * ((((n1 * n2) / (n1 + n2)) * (x1 - x2)^2) - (((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2)))^2) * ( (n0/2)^2 * (2 * (sd1^2 / n1 + sd2^2 / n2)^4 + 4 * (sd1^2 / n1 + sd2^2 / n2)^2 * (x1 - x2)^2) + ((((n1 * n2) / (n1 + n2)) * (x1 - x2)^2)^2 / (((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2))^2) * ((2 * (((n1 - 1) * sd1^2 + (n2 - 1) * sd2^2) / (n1 + n2 - 2))^2) / n1 + n2 - 2) ),vi_first,vi_first <- (1 / 4 * ((((input$n1 * input$n2) / (input$n1 + input$n2)) * (input$x1 - input$x2)^2) - (((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2)))^2) * ( (n0/2)^2 * (2 * (input$sd1^2 / input$n1 + input$sd2^2 / input$n2)^4 + 4 * (input$sd1^2 / input$n1 + input$sd2^2 / input$n2)^2 * (input$x1 - input$x2)^2) + ((((input$n1 * input$n2) / (input$n1 + input$n2)) * (input$x1 - input$x2)^2)^2 / (((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2))^2) * ((2 * (((input$n1 - 1) * input$sd1^2 + (input$n2 - 1) * input$sd2^2) / (input$n1 + input$n2 - 2))^2) / input$n1 + input$n2 - 2) ),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,"",none,yes,"",1,yes
lnM,first,4_multivariate_normal,"x1, x2, sd1, sd2, n, r",v1 > 0 & v2 > 0,Results are only reliable with SAFE method,"",sampling_variance,vi_first <- (1 / 4 * ((((n^2) / (2*n)) * (x1 - x2)^2) - (((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2)))^2) * ( (n/2)^2 * ( ((2 * (sd1^2 / n + sd2^2 / n)^4)/n^2) + ((4 * (sd1^2 / n + sd2^2 / n)^2 * (x1 - x2)^2)/n) ) ) + ((((n^2) / (2*n)) * (x1 - x2)^2)^2 / (((n - 1) * sd1^2 + (n - 1) * sd2^2) / (2*n - 2))^2) * ((sd1^4 + sd2^4 + 2*r^2*sd1^2*sd2^2) / (2 * (n-1))),vi_first,vi_first <- (1 / 4 * ((((input$n^2) / (2*input$n)) * (input$x1 - input$x2)^2) - (((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2)))^2) * ( (input$n/2)^2 * ( ((2 * (input$sd1^2 / input$n + input$sd2^2 / input$n)^4)/input$n^2) + ((4 * (input$sd1^2 / input$n + input$sd2^2 / input$n)^2 * (input$x1 - input$x2)^2)/input$n) ) ) + ((((input$n^2) / (2*input$n)) * (input$x1 - input$x2)^2)^2 / (((input$n - 1) * input$sd1^2 + (input$n - 1) * input$sd2^2) / (2*input$n - 2))^2) * ((input$sd1^4 + input$sd2^4 + 2*input$r^2*input$sd1^2*input$sd2^2) / (2 * (input$n-1))),"x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",TRUE,"",none,yes,"",1,yes
lnOR,first,2_multinomial_as_normal,"a, b, c, d",p1 > 0 & p2 > 0 & p1 < 1 & p2 < 1,"If any group (a, b, c, d) is 0, lnOR will be incalculable. If this is the case with your data, add 0.5 to all groups and rerun.",no,point_estimate,yi_first <- log(((a) * (d)) / ((b) * (c))),yi_first,yi_first <- log(((input$a) * (input$d)) / ((input$b) * (input$c))),"p1=0, p2=0","p1=1, p2=1",FALSE,"",OR,no,"",1,yes
lnRR,first,2_multinomial_as_normal,"a, c, n1, n2",p1 > 0 & p2 > 0 & p1 < 1 & p2 < 1,"If any group (a, c) is 0, lnRR will be incalculable. If this is the case with your data, add 0.5 to all groups and rerun.",no,point_estimate,yi_first <- log( ((a) / n1) / ((c)/ n2) ),yi_first,yi_first <- log( ((input$a) / input$n1) / ((input$c)/ input$n2) ),"p1=0, p2=0","p1=1, p2=1",FALSE,"",RR,no,"",1,yes
lnOR,first,2_multinomial_as_normal,"a, b, c, d",p1 > 0 & p2 > 0 & p1 < 1 & p2 < 1,"If any group (a, b, c, d) is 0, lnOR will be incalculable. If this is the case with your data, add 0.5 to all groups and rerun.",no,sampling_variance,vi_first <- (1 / (a)) + (1 / (b)) + (1 / (c)) + (1 / (d)),vi_first,vi_first <- (1 / (input$a)) + (1 / (input$b)) + (1 / (input$c)) + (1 / (input$d)),"p1=0, p2=0","p1=1, p2=1",FALSE,"",OR,no,"",1,yes
lnRR,first,2_multinomial_as_normal,"a, c, n1, n2",p1 > 0 & p2 > 0 & p1 < 1 & p2 < 1,"If any group (a, c) is 0, lnRR will be incalculable. If this is the case with your data, add 0.5 to all groups and rerun.",no,sampling_variance,vi_first <- (1 - (a / n1)) / a + (1 - (c / n2)) / c,vi_first,vi_first <- (1 - (input$a / input$n1)) / input$a + (1 - (input$c / input$n2)) / input$c,"p1=0, p2=0","p1=1, p2=1",FALSE,"",RR,no,"",1,yes
lnVR,first,2_multivariate_normal,"sd1, sd2, n1, n2",sd1 > 0 & sd2 > 0,"",yes,point_estimate,yi_first <- log(sd1/sd2),yi_first,yi_first <- log(input$sd1/input$sd2),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,no
lnVR,first,2_multivariate_normal,"sd1, sd2, n, r",sd1 > 0 & sd2 > 0,"",yes,point_estimate,yi_first <- log(sd1/sd2),yi_first,yi_first <- log(input$sd1/input$sd2),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,no
lnVR,second,2_multivariate_normal,"sd1, sd2, n1, n2",sd1 > 0 & sd2 > 0,"",yes,point_estimate,yi_second <- log(sd1/sd2) + (1/2) * ((1/(n1-1)) - (1/(n2-1))),yi_second,yi_second <- log(input$sd1/input$sd2) + (1/2) * ((1/(input$n1-1)) - (1/(input$n2-1))),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,yes
lnVR,second,2_multivariate_normal,"sd1, sd2, n, r",sd1 > 0 & sd2 > 0,"",yes,point_estimate,yi_second <- log(sd1/sd2) + (1/2) * ((1/(n-1)) - (1/(n-1))),yi_second,yi_second <- log(input$sd1/input$sd2) + (1/2) * ((1/(input$n-1)) - (1/(input$n-1))),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,yes
lnVR,first,2_multivariate_normal,"sd1, sd2, n1, n2",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_first <- (1/2) * (1/(n1-1) + 1/(n2-1)),vi_first,vi_first <- (1/2) * (1/(input$n1-1) + 1/(input$n2-1)),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,no
lnVR,first,2_multivariate_normal,"sd1, sd2, n, r",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_first <- (1/2) * (1/(n-1) + 1/(n-1)) - (r^2 * sqrt(1/(n-1)) * sqrt(1/(n-1))),vi_first,vi_first <- (1/2) * (1/(input$n-1) + 1/(input$n-1)) - (input$r^2 * sqrt(1/(input$n-1)) * sqrt(1/(input$n-1))),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,no
lnVR,second,2_multivariate_normal,"sd1, sd2, n1, n2",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_second <- (1/2) * ( (n1/((n1-1)^2)) + (n2/((n2-1)^2)) ),vi_second,vi_second <- (1/2) * ( (input$n1/((input$n1-1)^2)) + (input$n2/((input$n2-1)^2)) ),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",FALSE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,yes
lnVR,second,2_multivariate_normal,"sd1, sd2, n, r",sd1 > 0 & sd2 > 0,"",yes,sampling_variance,vi_second <- (1/2) * (1/(n-1) + 1/(n-1)) - (r^2 * sqrt(1/(n-1)) * sqrt(1/(n-1))) + (1/2) * ((1/(n-1)^2) + (1/(n-1)^2)) + r^4 * (sd1^8 + sd2^8) / (2 * (n-1) * (n-1) * sd1^4 * sd2^4),vi_second,vi_second <- (1/2) * (1/(input$n-1) + 1/(input$n-1)) - (input$r^2 * sqrt(1/(input$n-1)) * sqrt(1/(input$n-1))) + (1/2) * ((1/(input$n-1)^2) + (1/(input$n-1)^2)) + input$r^4 * (input$sd1^8 + input$sd2^8) / (2 * (input$n-1) * (input$n-1) * input$sd1^4 * input$sd2^4),"sd1=0, sd2=0","sd1=Inf, sd2=Inf",TRUE,Nakagawa et al. 2014 Methods Ecology and Evolution 6:143-152,VR,no,"",2,yes
SMDH,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,point_estimate,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); yi_second <- J * d",yi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); yi_second <- J * d","x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
SMDH,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,point_estimate,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); yi_second <- J * d",yi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); yi_second <- J * d","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
SMDH,second,4_multivariate_normal,"x1, x2, sd1, sd2, n1, n2",v1 > 0 & v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",no,sampling_variance,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((sd1^2 + sd2^2)/2); vi_second <- g^2 * (sd1^4/(n1 - 1) + sd2^4/(n2 - 1))/(8 * sdpi^4) + (sd1^2/(n1 - 1) + sd2^2/(n2 - 1))/sdpi^2",vi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((input$sd1^2 + input$sd2^2)/2); vi_second <- g^2 * (input$sd1^4/(input$n1 - 1) + input$sd2^4/(input$n2 - 1))/(8 * sdpi^4) + (input$sd1^2/(input$n1 - 1) + input$sd2^2/(input$n2 - 1))/sdpi^2","x1=-Inf, x2=-Inf, v1=0, v2=0","x1=Inf, x2=Inf, v1=Inf, v2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
SMDH,second,4_multivariate_normal_wishart,"x1, x2, sd1, sd2, n1, n2","","SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart",yes,sampling_variance,"J <- ifelse((n1+n2-2) <= 1, NA_real_, exp(lgamma((n1+n2-2)/2) - log(sqrt((n1+n2-2)/2)) - lgamma(((n1+n2-2) - 1)/2))); d <- (x1 - x2) / sqrt( (sd1^2 + sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((sd1^2 + sd2^2)/2); vi_second <- g^2 * (sd1^4/(n1 - 1) + sd2^4/(n2 - 1))/(8 * sdpi^4) + (sd1^2/(n1 - 1) + sd2^2/(n2 - 1))/sdpi^2",vi_second,"J <- ifelse((input$n1+input$n2-2) <= 1, NA_real_, exp(lgamma((input$n1+input$n2-2)/2) - log(sqrt((input$n1+input$n2-2)/2)) - lgamma(((input$n1+input$n2-2) - 1)/2))); d <- (input$x1 - input$x2) / sqrt( (input$sd1^2 + input$sd2^2) / 2 ); g <- J * d; sdpi <- sqrt((input$sd1^2 + input$sd2^2)/2); vi_second <- g^2 * (input$sd1^4/(input$n1 - 1) + input$sd2^4/(input$n2 - 1))/(8 * sdpi^4) + (input$sd1^2/(input$n1 - 1) + input$sd2^2/(input$n2 - 1))/sdpi^2","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",FALSE,Bonett 2009 Psychological Methods 14(3): 225-238,SMDH,no,"",1,yes
Zr,?,"","r, n","",Zr is one of the safest effect sizes there is :),"",point_estimate,r[r>1] <- 1; r[r < -1] <- -1; yi_first <- atanh(r),yi,input$r[input$r>1] <- 1; input$r[input$r < -1] <- -1; yi_first <- atanh(input$r),"","",FALSE,"",ZCOR,no,"",1,yes
Zr,?,"","r, n","",Zr is one of the safest effect sizes there is :),"",sampling_variance,vi_first <- 1/(n - 3),vi,vi_first <- 1/(input$n - 3),"","",FALSE,"",ZCOR,no,"",1,yes
pre_post_SMD_option1,second,8_multivariate_normal,"x1_a, x1_b, x2_a, x2_b, sd1_a, sd2_a, n, r",pre_v1 > 0 & pre_v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart.
This formulation only uses pre SD and calculates variance with SAFE. To use post SD and pre SD, use pre_post_SMD_option2",no,point_estimate,"sd_pooled <- sqrt( ((n - 1) * sd1_a^2 + (n - 1) * sd2_a^2) / (2*n - 2) ); cp <- ifelse((2*n - 2) <= 1, NA_real_, exp(lgamma((2*n - 2)/2) - log(sqrt((2*n - 2)/2)) - lgamma(((2*n - 2) - 1)/2))); yi_second <- (cp) * ( ((x1_b-x1_a) - (x2_b - x2_a)) / sd_pooled )",yi_second,"sd_pooled <- sqrt( ((input$n - 1) * input$sd1_a^2 + (input$n - 1) * input$sd2_a^2) / (2*input$n - 2) ); cp <- ifelse((2*input$n - 2) <= 1, NA_real_, exp(lgamma((2*input$n - 2)/2) - log(sqrt((2*input$n - 2)/2)) - lgamma(((2*input$n - 2) - 1)/2))); yi_second <- (cp) * ( ((input$x1_b-input$x1_a) - (input$x2_b - input$x2_a)) / sd_pooled )","x1_a=-Inf, x2_a=-Inf, x1_b=-Inf, x2_b=-Inf","x1_a=Inf, x2_a=Inf, x1_b=Inf, x2_b=Inf",TRUE,Eq. 8-10 in Morris 2008 Organizational Research Methods 11(2): 364-386,none,yes,Eq. 8-10,1,yes
pre_post_SMD_option1,second,8_multivariate_normal_wishart,"x1_a, x1_b, x2_a, x2_b, sd1_a, sd2_a, n, r",pre_v1 > 0 & pre_v2 > 0,"SMD can use normal or Wishart distribution to model variances. If unspecified with 'SAFE_distribution' argument, defaulting to Wishart.
This formulation only uses pre SD and calculates variance with SAFE. To use post SD and pre SD, use pre_post_SMD_option2",yes,point_estimate,"sd_pooled <- sqrt( ((n - 1) * sd1_a^2 + (n - 1) * sd2_a^2) / (2*n - 2) ); cp <- ifelse((2*n - 2) <= 1, NA_real_, exp(lgamma((2*n - 2)/2) - log(sqrt((2*n - 2)/2)) - lgamma(((2*n - 2) - 1)/2))); yi_second <- (cp) * ( ((x1_b-x1_a) - (x2_b - x2_a)) / sd_pooled )",yi_second,"sd_pooled <- sqrt( ((input$n - 1) * input$sd1_a^2 + (input$n - 1) * input$sd2_a^2) / (2*input$n - 2) ); cp <- ifelse((2*input$n - 2) <= 1, NA_real_, exp(lgamma((2*input$n - 2)/2) - log(sqrt((2*input$n - 2)/2)) - lgamma(((2*input$n - 2) - 1)/2))); yi_second <- (cp) * ( ((input$x1_b-input$x1_a) - (input$x2_b - input$x2_a)) / sd_pooled )","x1=-Inf, x2=-Inf","x1=Inf, x2=Inf",TRUE,Eq. 8-10 in Morris 2008 Organizational Research Methods 11(2): 364-386,none,yes,Eq. 8-10,1,yes
